Day of Week Ending,Lineage Bin,Modeltype,Usa Or Hhsregion,Variant,95CI,Share
"September 4, 2021",Top,smoothed,1,B.1.621,0.0-2.0%,0.002626933
"September 11, 2021",Top,smoothed,1,B.1.621,0.0-2.0%,0.001749500
"September 4, 2021",Top,smoothed,2,B.1.621,0.0-3.6%,0.001801304
"September 11, 2021",Top,smoothed,2,B.1.621,0.0-3.6%,0.001199180
"September 4, 2021",Top,smoothed,3,B.1.621,0.0-2.1%,0.001200412
"September 11, 2021",Top,smoothed,3,B.1.621,0.0-2.1%,0.000799279
"September 4, 2021",Top,smoothed,4,B.1.621,0.0-1.5%,0.001475381
"September 11, 2021",Top,smoothed,4,B.1.621,0.0-1.5%,0.000982588
"September 4, 2021",Top,smoothed,5,B.1.621,0.0-2.0%,0.000590791
"September 11, 2021",Top,smoothed,5,B.1.621,0.0-2.0%,0.000393314
"September 4, 2021",Top,smoothed,6,B.1.621,0.0-2.4%,0.000881745
"September 11, 2021",Top,smoothed,6,B.1.621,0.0-2.4%,0.000587119
"September 4, 2021",Top,smoothed,7,B.1.621,0.0-3.2%,0.000157770
"September 11, 2021",Top,smoothed,7,B.1.621,0.0-3.2%,0.000104952
"September 4, 2021",Top,smoothed,8,B.1.621,0.0-2.1%,0.000614380
"September 11, 2021",Top,smoothed,8,B.1.621,0.0-2.1%,0.000408792
"September 4, 2021",Top,smoothed,9,B.1.621,0.0-2.7%,0.000908044
"September 11, 2021",Top,smoothed,9,B.1.621,0.0-2.7%,0.000604846
"September 4, 2021",Top,smoothed,10,B.1.621,0.0-2.9%,0.001069193
"September 11, 2021",Top,smoothed,10,B.1.621,0.0-2.9%,0.000712056
"September 4, 2021",Top,smoothed,USA,B.1.621,0.0-0.5%,0.001166491
"September 11, 2021",Top,smoothed,USA,B.1.621,0.0-0.5%,0.000789723
"June 12, 2021",Top,weighted,1,B.1.621,9.2-31.4%,0.177133664
"June 19, 2021",Top,weighted,1,B.1.621,9.5-35.3%,0.192985043
"June 26, 2021",Top,weighted,1,B.1.621,12.6-30.0%,0.199063301
"July 3, 2021",Top,weighted,1,B.1.621,12.8-18.9%,0.155832916
"July 10, 2021",Top,weighted,1,B.1.621,3.9-49.6%,0.167304695
"July 17, 2021",Top,weighted,1,B.1.621,0.6-9.1%,0.023477118
"July 24, 2021",Top,weighted,1,B.1.621,0.8-2.2%,0.013439329
"July 31, 2021",Top,weighted,1,B.1.621,0.8-3.4%,0.016320769
"August 7, 2021",Top,weighted,1,B.1.621,0.1-1.5%,0.003261235
"August 14, 2021",Top,weighted,1,B.1.621,0.1-0.7%,0.001879596
"August 21, 2021",Top,weighted,1,B.1.621,0.1-0.6%,0.002589421
"August 28, 2021",Top,weighted,1,B.1.621,0.0-0.9%,0.001454054
"June 12, 2021",Top,weighted,2,B.1.621,3.5-38.2%,0.130808979
"June 19, 2021",Top,weighted,2,B.1.621,4.2-39.5%,0.144409642
"June 26, 2021",Top,weighted,2,B.1.621,3.6-31.8%,0.117050841
"July 3, 2021",Top,weighted,2,B.1.621,2.6-27.6%,0.092230350
"July 10, 2021",Top,weighted,2,B.1.621,4.1-10.2%,0.065258771
"July 17, 2021",Top,weighted,2,B.1.621,3.6-5.8%,0.045961808
"July 24, 2021",Top,weighted,2,B.1.621,1.0-3.0%,0.017183034
"July 31, 2021",Top,weighted,2,B.1.621,0.4-1.9%,0.008702567
"August 7, 2021",Top,weighted,2,B.1.621,0.2-2.5%,0.007148894
