,Date,"(State, County)",Sum of Mobility,Beta
0,2020-05-01,"('California', 'San Francisco')",1.5883682765820752,0.0735996477497343
1,2020-05-02,"('California', 'San Francisco')",1.612135443724792,0.0873090646203246
2,2020-05-03,"('California', 'San Francisco')",1.5884259717955596,0.1004523257825862
3,2020-05-04,"('California', 'San Francisco')",1.557904757928862,0.0914203343756353
4,2020-05-05,"('California', 'San Francisco')",1.5343839581914305,0.0542479909394094
5,2020-05-06,"('California', 'San Francisco')",1.479435885607473,0.0271381176706321
6,2020-05-07,"('California', 'San Francisco')",1.5207507808402454,0.019268712113515
7,2020-05-08,"('California', 'San Francisco')",1.6613062579101927,0.0481197420792369
8,2020-05-09,"('California', 'San Francisco')",1.5457427859226418,0.0345342624426954
9,2020-05-10,"('California', 'San Francisco')",1.5486553550012765,0.0235850321632411
10,2020-05-11,"('California', 'San Francisco')",1.7035551740918933,0.0371220395056158
11,2020-05-12,"('California', 'San Francisco')",1.5336490392852675,0.0221399477396611
12,2020-05-13,"('California', 'San Francisco')",1.4432233004621138,0.064652765044027
13,2020-05-14,"('California', 'San Francisco')",1.675882554654117,0.07443914367483
14,2020-05-15,"('California', 'San Francisco')",1.5901217644803265,0.0391241945392063
15,2020-05-16,"('California', 'San Francisco')",1.6455580865351456,0.0534945431496637
16,2020-05-17,"('California', 'San Francisco')",1.605989324895774,0.1535400229446773
17,2020-05-18,"('California', 'San Francisco')",1.6769917855968424,0.0746055198448027
18,2020-05-19,"('California', 'San Francisco')",1.5396569511205185,0.0594564635751367
19,2020-05-20,"('California', 'San Francisco')",1.4645303599346218,0.0502131410552373
20,2020-05-21,"('California', 'San Francisco')",1.5472896938071856,0.0255844074118664
21,2020-05-22,"('California', 'San Francisco')",1.7414488629598734,0.0596029783793416
22,2020-05-23,"('California', 'San Francisco')",1.6897812782118706,0.0713404957262398
23,2020-05-24,"('California', 'San Francisco')",1.6851626645838793,0.0
24,2020-05-25,"('California', 'San Francisco')",1.7507726381410629,0.066615885459817
25,2020-05-26,"('California', 'San Francisco')",1.759506019850937,0.0552203195886579
26,2020-05-27,"('California', 'San Francisco')",1.5686719104623552,0.0417644632006377
27,2020-05-28,"('California', 'San Francisco')",1.7978161057142703,0.05155732143141
28,2020-05-29,"('California', 'San Francisco')",1.7520927616391788,0.066583828070594
29,2020-05-30,"('California', 'San Francisco')",1.7599254638996504,0.0557125560010172
30,2020-05-31,"('California', 'San Francisco')",1.7332091001802283,0.0729703792906723
31,2020-06-01,"('California', 'San Francisco')",1.7660945464680808,0.0117533039581506
32,2020-06-02,"('California', 'San Francisco')",1.6553985674626537,0.0560283611565739
33,2020-06-03,"('California', 'San Francisco')",1.5659505937278526,0.0701776107148081
34,2020-06-04,"('California', 'San Francisco')",1.737114248935327,0.0515679427688386
35,2020-06-05,"('California', 'San Francisco')",1.6801850147058952,0.043217061176515
36,2020-06-06,"('California', 'San Francisco')",1.6928215385168257,0.0507601921691161
37,2020-06-07,"('California', 'San Francisco')",1.7490974766278438,0.0330549920346921
38,2020-06-08,"('California', 'San Francisco')",1.7363030675759488,0.0615618105754653
39,2020-06-09,"('California', 'San Francisco')",1.7511328325376527,0.0367693681320374
40,2020-06-10,"('California', 'San Francisco')",1.6729881334267536,0.0384360577981624
41,2020-06-11,"('California', 'San Francisco')",1.738596979519732,0.0500427954053852
42,2020-06-12,"('California', 'San Francisco')",1.8606997758212016,0.0412192414773081
43,2020-06-13,"('California', 'San Francisco')",1.8483723315123133,0.0526457105805682
44,2020-06-14,"('California', 'San Francisco')",1.871204491976627,0.047195599407723
45,2020-06-15,"('California', 'San Francisco')",1.7939321663506709,0.0177639552014188
46,2020-06-16,"('California', 'San Francisco')",1.654589645795672,0.0395136046919545
47,2020-06-17,"('California', 'San Francisco')",1.515140960847648,0.1235944716285794
48,2020-06-18,"('California', 'San Francisco')",1.7653157465507914,0.075558893561574
49,2020-06-19,"('California', 'San Francisco')",1.7924486751806472,0.0802434134069698
50,2020-06-20,"('California', 'San Francisco')",1.7979890146157362,0.0727507821216425
51,2020-06-21,"('California', 'San Francisco')",1.832865008116432,0.1218728397179907
52,2020-06-22,"('California', 'San Francisco')",1.893819508097428,0.1306904624151877
53,2020-06-23,"('California', 'San Francisco')",1.6740559637348893,0.0721029720364837
54,2020-06-24,"('California', 'San Francisco')",1.6595400867554817,0.0584888942279138
55,2020-06-25,"('California', 'San Francisco')",1.7966029879155956,0.0718149631341556
56,2020-06-26,"('California', 'San Francisco')",1.8540178571040613,0.0740656626796747
57,2020-06-27,"('California', 'San Francisco')",1.850820025540999,0.0780022371133529
58,2020-06-28,"('California', 'San Francisco')",1.888405194270388,0.0638437131654458
59,2020-06-29,"('California', 'San Francisco')",1.7316476715379332,0.0
60,2020-06-30,"('California', 'San Francisco')",1.5958270319102248,0.0629525032317565
61,2020-07-01,"('California', 'San Francisco')",1.5697895626001614,0.0910515174710302
62,2020-07-02,"('California', 'San Francisco')",1.7536371394142505,0.0490362838049225
63,2020-07-03,"('California', 'San Francisco')",1.788154759049985,0.0558877825347114
64,2020-07-04,"('California', 'San Francisco')",1.8870586529584188,0.0537800686418612
65,2020-07-05,"('California', 'San Francisco')",1.8830007726504,0.0984250872835714
66,2020-07-06,"('California', 'San Francisco')",1.918743584354578,0.1207606711030052
67,2020-07-07,"('California', 'San Francisco')",1.7729769641724331,0.0823651145167995
68,2020-07-08,"('California', 'San Francisco')",1.6981846914284595,0.0455676336289236
69,2020-07-09,"('California', 'San Francisco')",1.880304687657276,0.0735621908778387
70,2020-07-10,"('California', 'San Francisco')",1.8899716498853796,0.0667288855438849
71,2020-07-11,"('California', 'San Francisco')",2.6902632431767395,0.0997177844452011
72,2020-07-12,"('California', 'San Francisco')",2.634506015193013,0.0483393295537182
73,2020-07-13,"('California', 'San Francisco')",1.8859971808009497,0.0743692992813984
74,2020-07-14,"('California', 'San Francisco')",1.7476902921454052,0.0595292984987491
75,2020-07-15,"('California', 'San Francisco')",1.7237809425430115,0.0725986988984208
76,2020-07-16,"('California', 'San Francisco')",1.83813711391369,0.0642749722495703
77,2020-07-17,"('California', 'San Francisco')",1.805072881257712,0.0738985275470167
78,2020-07-18,"('California', 'San Francisco')",1.9274874363091232,0.0429865286028675
79,2020-07-19,"('California', 'San Francisco')",1.8862347608641956,0.0558217864748772
80,2020-07-20,"('California', 'San Francisco')",1.820304494704064,0.0444271197372267
81,2020-07-21,"('California', 'San Francisco')",1.8036964054034448,0.0697473230904741
82,2020-07-22,"('California', 'San Francisco')",1.6627438275629738,0.0518315043515038
83,2020-07-23,"('California', 'San Francisco')",1.7103990395983355,0.04976424212541
84,2020-07-24,"('California', 'San Francisco')",1.7592444267025298,0.0635600038100504
85,2020-07-25,"('California', 'San Francisco')",1.7715876902041685,0.0913205654131025
86,2020-07-26,"('California', 'San Francisco')",1.8116868301601,0.0745943991823365
87,2020-07-27,"('California', 'San Francisco')",1.83838257400113,0.0768437373936926
88,2020-07-28,"('California', 'San Francisco')",1.7030204743929327,0.0505875374468247
89,2020-07-29,"('California', 'San Francisco')",1.6558011296653166,0.0657230773390653
90,2020-07-30,"('California', 'San Francisco')",1.7420875899675192,0.0700648199757703
91,2020-07-31,"('California', 'San Francisco')",1.6992305504738416,0.0521462579223616
92,2020-08-01,"('California', 'San Francisco')",1.684113998776074,0.038302756468356
93,2020-08-02,"('California', 'San Francisco')",1.6768075049621474,0.0395759859574562
94,2020-08-03,"('California', 'San Francisco')",1.70477097039822,0.0393079955462022
95,2020-08-04,"('California', 'San Francisco')",1.6496808079402134,0.0558019158050319
96,2020-08-05,"('California', 'San Francisco')",1.5567485362361184,0.0423480436132282
97,2020-08-06,"('California', 'San Francisco')",1.675460588502348,0.048838294433117
98,2020-08-07,"('California', 'San Francisco')",1.7518724707670736,0.061870370053564
99,2020-08-08,"('California', 'San Francisco')",1.767678616340744,0.0421094918534868
100,2020-08-09,"('California', 'San Francisco')",1.7646621107720857,0.0525902690628268
101,2020-08-10,"('California', 'San Francisco')",1.8962049573669104,0.0495812259266567
102,2020-08-11,"('California', 'San Francisco')",1.835412191487076,0.0549477916164877
103,2020-08-12,"('California', 'San Francisco')",1.6727118512009254,0.0450330620558233
104,2020-08-13,"('California', 'San Francisco')",1.7425955530868285,0.0437305535227074
105,2020-08-14,"('California', 'San Francisco')",1.8220765651190327,0.0450475949031808
106,2020-08-15,"('California', 'San Francisco')",1.8217472528918488,0.0397928684515101
107,2020-08-16,"('California', 'San Francisco')",2.1938907315711846,0.0406073716163069
108,2020-08-17,"('California', 'San Francisco')",1.9090522012417903,0.0406275719086885
109,2020-08-18,"('California', 'San Francisco')",1.842331291106713,0.0289155899953196
110,2020-08-19,"('California', 'San Francisco')",1.5634299584825362,0.0442003580197838
111,2020-08-20,"('California', 'San Francisco')",1.7319547398655857,0.0322369344257615
112,2020-08-21,"('California', 'San Francisco')",1.7140222416516862,0.0342942926913614
113,2020-08-22,"('California', 'San Francisco')",1.7350621751844464,0.0416817212951507
114,2020-08-23,"('California', 'San Francisco')",1.741656858303273,0.0334963760755441
115,2020-08-24,"('California', 'San Francisco')",1.7130443830263886,0.0539333820454123
116,2020-08-25,"('California', 'San Francisco')",1.719651863940017,0.0439804783616962
117,2020-08-26,"('California', 'San Francisco')",1.578141798069152,0.0450807986006123
118,2020-08-27,"('California', 'San Francisco')",1.6961931485492687,0.0470177231132136
119,2020-08-28,"('California', 'San Francisco')",1.735875090539093,0.0443216998258613
120,2020-08-29,"('California', 'San Francisco')",1.8018131981118195,0.0429541144955314
121,2020-08-30,"('California', 'San Francisco')",1.720781223224455,0.0435540388990281
122,2020-08-31,"('California', 'San Francisco')",1.7356474929887251,0.0288268020525013
123,2020-09-01,"('California', 'San Francisco')",1.7478670035814006,0.0409010054825226
124,2020-09-02,"('California', 'San Francisco')",1.7308285584119854,0.0415816334592519
125,2020-09-03,"('California', 'San Francisco')",1.5945094426054554,0.0426803929795167
126,2020-09-04,"('California', 'San Francisco')",1.675569486443539,0.0332748547417513
127,2020-09-05,"('California', 'San Francisco')",1.6509074458787791,0.0294072912457109
128,2020-09-06,"('California', 'San Francisco')",1.6999856186023423,0.0424169154391588
129,2020-09-07,"('California', 'San Francisco')",1.7211257884621145,0.0373937370420367
130,2020-09-08,"('California', 'San Francisco')",1.5884150043467118,0.0265424494567908
131,2020-09-09,"('California', 'San Francisco')",1.4565762839342968,0.0426709146768441
132,2020-09-10,"('California', 'San Francisco')",1.6219759762565322,0.0383500251672217
133,2020-09-11,"('California', 'San Francisco')",1.65348881563652,0.0492729324027502
134,2020-09-12,"('California', 'San Francisco')",1.7180543800034271,0.0573241488538595
135,2020-09-13,"('California', 'San Francisco')",1.706015048741499,0.0489234339482265
136,2020-09-14,"('California', 'San Francisco')",1.7926278447311774,0.0402789079595111
137,2020-09-15,"('California', 'San Francisco')",1.8025143022993664,0.0510126206834612
138,2020-09-16,"('California', 'San Francisco')",1.5699010880852298,0.0420799731258556
139,2020-09-17,"('California', 'San Francisco')",1.6699440127008516,0.0495362868616503
140,2020-09-18,"('California', 'San Francisco')",1.7005546867146888,0.0373442722259214
141,2020-09-19,"('California', 'San Francisco')",1.7767375610225289,0.030503618934895
142,2020-09-20,"('California', 'San Francisco')",1.748130661004532,0.0515400491391946
143,2020-09-21,"('California', 'San Francisco')",1.8841783754755588,0.0368936669095461
144,2020-09-22,"('California', 'San Francisco')",1.8697092557161024,0.0515733055033339
145,2020-09-23,"('California', 'San Francisco')",1.705763129715275,0.0413188272219418
146,2020-09-24,"('California', 'San Francisco')",1.7321785318346477,0.0381788959696365
147,2020-09-25,"('California', 'San Francisco')",1.762234994335867,0.0443094516368699
148,2020-09-26,"('California', 'San Francisco')",1.808740821474878,0.0501556459719494
149,2020-09-27,"('California', 'San Francisco')",1.807997774810858,0.0156117734137522
